Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,260268,chlorocyanus,Trunk Crown,Trunk Crown,Caribbean,69.5,,19.5,9.9,11.6,9.7,9.6,9.9,12.5,14.3,19.3,1.9,2.1
USNM,260267,chlorocyanus,Trunk Crown,Trunk Crown,Caribbean,72,148.3,19.9,10.1,11.9,9.9,9.5,10.9,13,14.2,20.5,1.7,2
MVZ,214386,christophei,Unknown,Unknown,Caribbean,46.78,,12.97,6.26,7.77,8.1,7.83,9.53,11.06,12.75,17.88,0.77,1.04
MVZ,214383,christophei,Unknown,Unknown,Caribbean,48.12,89.5,12.68,6.23,7.42,8.42,7.67,9.25,10.96,12.68,17.86,0.8,0.92
MVZ,214389,christophei,Unknown,Unknown,Caribbean,49.54,,14.53,6.7,8.35,7.9,8.38,10.09,11.86,12.76,18.36,0.97,1.1
USNM,566353,chrysolepis,Mainland,Ground,Mainland,57.3,127.9,14.3,6.2,9,10.3,10.4,9.7,15.1,17.9,22.4,0.9,0.8
MVZ,160636,cobanensis,Mainland,Mainland,Mainland,46.8,108.83,12.62,5.68,7.76,7.02,7.22,8.58,13.94,14.38,20.37,0.96,1.19
MVZ,160531,cobanensis,Mainland,Mainland,Mainland,51.99,,14.31,6.19,8.77,8.01,8.25,10.72,13.25,15.63,21.32,1.07,1.1
MCZ,124699,coelestinus,Trunk Crown,Trunk Crown,Caribbean,76.12,167.8,22,11.33,13.83,12.32,10.09,11.46,15.87,16.99,22.45,2.01,2.31
MCZ,142958,concolor,Mainland,Mainland,Mainland,67.96,140.43,18.14,8.42,9.97,10.71,10.77,11.69,15.94,18.9,22.49,1.29,1.61
USNM,549587,conspersus,Trunk Ground,Trunk Ground,Caribbean,63.6,,18.2,8.5,10.7,10.1,9.3,10.7,14.3,15.2,20.4,1.2,1.7
USNM,549585,conspersus,Trunk Ground,Trunk Ground,Caribbean,64.8,114.5,18.9,9.2,11.1,10.6,9.7,11.4,14.7,16.6,22.1,1.5,1.7
USNM,549586,conspersus,Trunk Ground,Trunk Ground,Caribbean,67.7,,19.7,9.3,11.2,11.5,10.9,11.8,15.7,17.6,23.4,1.4,1.7
USNM,549584,conspersus,Trunk Ground,Trunk Ground,Caribbean,73.3,111.4,20.7,9.9,12.5,12.3,10.8,12,16.2,18.4,23.6,1.4,1.8
CAS,175492,cooki,Trunk Ground,Trunk Ground,Caribbean,53.3,107.6,15.3,7.3,9.3,8.6,8.2,8.9,12.7,14.5,19.8,1.1,1.4
CAS,198423,cooki,Trunk Ground,Trunk Ground,Caribbean,55,111.9,15.9,7.3,9.4,8.7,8.6,8,13.1,15,19.7,1.2,1.5
USNM,221458,cristatellus,Trunk Ground,Trunk Ground,Caribbean,64.6,116.4,17.9,8.7,11.3,9.8,10.2,11,16,18.5,24.2,1.5,1.8
USNM,221459,cristatellus,Trunk Ground,Trunk Ground,Caribbean,65.1,,18.8,8.7,11.8,9.9,9.2,11.3,16.5,18.1,22.1,1.7,1.6
USNM,298128,cryptolimifrons,Mainland,Mainland,Mainland,40.6,85.4,10.8,4.8,6.2,4.9,5.2,5.8,10.5,11.6,14,0.6,0.9
USNM,298126,cryptolimifrons,Mainland,Mainland,Mainland,41,88,11.1,5.6,6.4,6,5.7,6.8,10.6,11.6,14.5,0.7,0.9
USNM,297929,cryptolimifrons,Mainland,Mainland,Mainland,41.2,88.4,10.9,5.2,6.5,6.7,6.4,6.8,10.5,12.9,15.9,0.6,0.8
USNM,297927,cryptolimifrons,Mainland,Mainland,Mainland,45.2,97.6,12.1,5.3,6.9,6.3,6.3,7.2,11.4,12.4,15.5,0.7,1
MCZ,160653,cupeyalensis,Grass Bush,Grass Bush,Caribbean,30.88,99.2,8.65,4.12,4.39,3.69,2.84,2.8,5.54,7.45,9.89,0.37,0.53
USNM,80900,cupreus,Mainland,Mainland,Mainland,41.3,81.2,10.5,4.6,6.5,5,6,6.7,8.8,11.3,14.3,0.6,0.8
MVZ,264341,cuvieri,Crown Giant,Crown Giant,Caribbean,123.6,,38,17.3,21,20.5,17.6,20.7,27.3,30.2,38.7,3.2,3.4
MVZ,264496,cuvieri,Crown Giant,Crown Giant,Caribbean,131.6,274.5,39.3,17.9,22.4,21.8,19.6,23.1,32.2,32.7,45.3,3.4,3.5
MVZ,257394,cuvieri,Crown Giant,Crown Giant,Caribbean,134.4,,39.6,19.2,23.5,22.1,20.5,22.6,34.8,32.6,42.8,3.5,3.8
