"","CG","G","GB","TC","TG","Tr","Tw","U"
"114",0,0.3134375,0,0.00322916666666667,0.101041666666667,0,0,0.582291666666667
"115",0,0.386122448979592,0,0.0026530612244898,0.0438775510204082,0,0.000102040816326531,0.567244897959184
"116",0,0.861919191919192,0.000101010101010101,0.000808080808080808,0.0171717171717172,0,0,0.12
"117",0.000918367346938775,0.251326530612245,0.000510204081632653,0.00795918367346939,0.0278571428571429,0,0.00112244897959184,0.71030612244898
"118",0,0.293493975903614,0,0.00313253012048193,0.173855421686747,0,0,0.529518072289157
"119",0,0.296941176470588,0,0.00129411764705882,0.344705882352941,0,0,0.357058823529412
"120",0.0003125,0.306666666666667,0.000416666666666667,0.00166666666666667,0.350104166666667,0.000104166666666667,0.000416666666666667,0.3403125
"121",0.000128205128205128,0.26474358974359,0.000256410256410256,0,0.518974358974359,0,0,0.215897435897436
"122",0,0.132959183673469,0.00122448979591837,0.000408163265306122,0.784489795918367,0.000102040816326531,0.000102040816326531,0.0807142857142857
"123",0,0.00202020202020202,0,0,0.997272727272727,0,0,0.000707070707070707
"124",0.000202020202020202,0.255959595959596,0.00181818181818182,0.00181818181818182,0.48010101010101,0.000303030303030303,0.000808080808080808,0.258989898989899
"125",0,0.793478260869565,0,0,0.0615217391304348,0,0,0.145
"126",0,0.858974358974359,0,0.000128205128205128,0.0548717948717949,0,0,0.086025641025641
"127",0,0.939166666666667,0.000104166666666667,0,0.0203125,0,0.000104166666666667,0.0403125
"128",0.000119047619047619,0.829880952380952,0,0.000238095238095238,0.0844047619047619,0,0,0.0853571428571429
"129",0.00525252525252525,0.47969696969697,0.00111111111111111,0.00333333333333333,0.231414141414141,0.000202020202020202,0.000404040404040404,0.278585858585859
"130",0,0.897340425531915,0.000106382978723404,0,0.09,0,0,0.0125531914893617
"131",0,0.846545454545455,0,0,0.0718181818181818,0,0,0.0816363636363636
"132",0,0.889484536082474,0.000206185567010309,0.000103092783505155,0.0775257731958763,0,0,0.032680412371134
"133",0,0.828269230769231,0,0,0.0940384615384615,0,0,0.0776923076923077
"134",0,0.83741935483871,0,0,0.0993548387096774,0,0,0.0632258064516129
"135",0,0.638382352941177,0,0,0.290294117647059,0,0.000147058823529412,0.0711764705882353
"136",0,0.755882352941176,0,0,0.188823529411765,0,0,0.0552941176470588
"137",0,0.71875,0,0,0.19,0,0,0.09125
"138",0,0.448709677419355,0,0.00032258064516129,0.04,0,0,0.510967741935484
"139",0.000721649484536082,0.0394845360824742,0.000515463917525773,0.0116494845360825,0.00731958762886598,0.000412371134020619,0.00103092783505155,0.938865979381443
"140",0,0.471,0,0,0.0333333333333333,0,0,0.495666666666667
"141",0,0.214358974358974,0,0.0128205128205128,0.0212820512820513,0.00282051282051282,0,0.748717948717949
"142",0.000363636363636364,0.0496363636363636,0,0.00727272727272727,0.00254545454545455,0.000363636363636364,0.000727272727272727,0.939090909090909
"143",0,0.01,0,0,0.00166666666666667,0,0,0.988333333333333
"144",0,0.00365853658536585,0.00024390243902439,0.0168292682926829,0.000975609756097561,0,0.00048780487804878,0.97780487804878
"145",0,0.00391304347826087,0,0.0191304347826087,0.000434782608695652,0,0,0.976521739130435
"146",0.000459770114942529,0.00149425287356322,0.000114942528735632,0.0655172413793104,0.00218390804597701,0.0285057471264368,0.000574712643678161,0.901149425287356
"147",0,0.00108695652173913,0,0.0110869565217391,0.000217391304347826,0,0.000217391304347826,0.987391304347826
"148",0.00142857142857143,0.000918367346938775,0.000204081632653061,0.0556122448979592,0.000102040816326531,0,0.000612244897959184,0.941122448979592
"149",0,0.818205128205128,0,0,0.00435897435897436,0,0,0.177435897435897
"150",0,0.779125,0.00025,0.00125,0.022625,0.000125,0.000125,0.1965
"151",0,0.969583333333333,0,0,0.000416666666666667,0,0,0.03
"152",0,0.994375,0,0,0.000625,0,0,0.005
"153",0,0.999117647058824,0,0,0.000294117647058824,0,0,0.000588235294117647
"154",0,0.998958333333333,0,0,0.000625,0,0,0.000416666666666667
"155",0,0.999325842696629,0,0,0.000224719101123596,0,0,0.000449438202247191
"156",0,0.997127659574468,0,0,0.000638297872340425,0,0,0.00223404255319149
"157",0,0.99,0,0,0.00596153846153846,0,0,0.00403846153846154
"158",0,0.862527472527473,0.00010989010989011,0.00010989010989011,0.0659340659340659,0,0,0.0713186813186813
"159",0,0.69,0,0,0.15,0,0,0.16
"160",0,0.947171717171717,0,0.000202020202020202,0.0397979797979798,0,0,0.0128282828282828
"161",0,0.954242424242424,0,0.00141414141414141,0.0286868686868687,0,0,0.0156565656565657
"162",0,0.993673469387755,0,0.000102040816326531,0.00459183673469388,0,0,0.00163265306122449
"163",0,0.996122448979592,0,0,0.00346938775510204,0,0,0.000408163265306122
"164",0,1,0,0,0,0,0,0
"165",0,0.998484848484849,0,0,0.00106060606060606,0,0,0.000454545454545455
"166",0,0.997070707070707,0,0,0.000505050505050505,0,0,0.00242424242424242
"167",0,0.982121212121212,0.000101010101010101,0,0.0172727272727273,0,0,0.000505050505050505
"168",0,0.745656565656566,0.000202020202020202,0,0.249191919191919,0,0.000101010101010101,0.00484848484848485
"169",0,0.988383838383838,0.000101010101010101,0,0.0111111111111111,0,0,0.000404040404040404
"170",0,0.999861111111111,0,0,0,0,0,0.000138888888888889
"171",0,0.998842105263158,0,0,0.000526315789473684,0,0,0.000631578947368421
"172",0,0.999292929292929,0,0,0.000101010101010101,0,0,0.000606060606060606
"173",0,0.999473684210526,0,0,0.000131578947368421,0,0,0.000394736842105263
"174",0,0.983424657534247,0,0,0.0143835616438356,0,0,0.00219178082191781
"175",0,0.934615384615385,0,0,0.0630769230769231,0,0,0.00230769230769231
"176",0,0.690138888888889,0.000138888888888889,0.000138888888888889,0.271805555555556,0,0,0.0377777777777778
"177",0,0.75734693877551,0.000204081632653061,0,0.170612244897959,0,0,0.0718367346938776
"178",0,0.968,0,0,0.0295,0,0,0.0025
"179",0,0.999090909090909,0,0,0.000606060606060606,0,0,0.000303030303030303
"180",0,0.976875,0,0,0.018125,0,0,0.005
"181",0,0.516666666666667,0,0,0.417083333333333,0,0,0.06625
